_id,year,state_name,state_code,district_name,district_code,registration_circles,murder_with_rape_gang_rape,dowry_deaths,abetment_to_suicide_of_women,miscarriage,acid_attack,attempt_to_acid_attack,cruelty_by_husband_or_his_relatives,kidnapping_and_abduction,kidnapping_abduction_in_order_to_murder,kidnapping_for_ransom,kidnp_and_abductn_of_women_above_18_for_marrg,importation_of_girls_from_foreign,kidnapping_and_abduction_of_women_others,human_trafficking,rape_women_above_18,attempt_to_commit_rape_above_18,assault_on_womenabove_18,insult_to_the_modesty_of_women_above_18,dowry_prohibition,detaining_a_prsn_in_premises_where_prost_is_carried,prostitution_in_or_in_the_vicinity_of_public_places,seducing_or_soliciting_for_purpose_of_prostitution,other_sections_under_itp_act,protection_of_women_from_domestic_violence,publshng_or_transmitting_of_sexually_explicit_mtrl,other_women_centric_cyber_crimes,indecent_representation_of_women
1,2017,Andhra Pradesh,28,Ananthapuramu,502,Anantapur,0,14,55,0,0,0,471,11,0,4,7,0,3,2,20,10,408,7,0,0,0,0,0,0,0,0,0
2,2017,Andhra Pradesh,28,Chittoor,503,Chittoor,0,8,24,1,0,0,212,5,0,0,1,0,0,0,6,4,163,12,28,0,0,0,0,0,0,0,0
3,2017,Andhra Pradesh,28,Y.S.R.,504,Cuddapah,0,15,134,0,0,0,481,1,0,0,1,0,0,2,23,4,490,59,7,4,0,0,0,0,1,0,0
4,2017,Andhra Pradesh,28,East Godavari,505,East Godavari,0,10,18,0,1,0,601,10,0,0,4,0,1,0,19,9,465,124,2,0,0,0,0,0,0,0,1
5,2017,Andhra Pradesh,28,Ananthapuramu,502,Guntakal Railway,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0
6,2017,Andhra Pradesh,28,Guntur,506,Guntur,0,14,49,0,0,0,558,7,0,0,2,0,3,0,32,17,301,380,0,0,0,0,5,0,0,0,0
7,2017,Andhra Pradesh,28,Guntur,506,Guntur Urban,0,1,35,0,0,0,335,2,0,0,3,0,0,0,14,5,133,179,1,0,0,0,45,0,0,2,1
8,2017,Andhra Pradesh,28,Krishna,510,Krishna,0,14,33,0,0,0,620,49,0,0,6,0,21,0,35,11,405,215,0,0,0,0,4,0,0,0,0
9,2017,Andhra Pradesh,28,Kurnool,511,Kurnool,3,18,68,1,0,0,313,3,0,0,2,0,3,0,17,6,336,409,395,0,1,0,0,0,0,0,0
10,2017,Andhra Pradesh,28,Sri Potti Sriramulu Nellore,515,Nellore,0,6,28,0,0,0,469,14,0,0,1,0,2,0,15,13,296,88,0,0,0,0,13,0,0,0,0
